Ex(m), Ey(m), Ez(m)
10.76028, -0.234865, -0.00720787
12.68105, -0.1883255, -0.006493568
14.42917, -0.1430211, -0.004609108
15.82467, -0.1063039, -0.002280235
16.91143, -0.07889628, -0.002486229
17.68164, -0.06066799, -0.003665924
18.09074, -0.05257857, -0.005074501
18.2211, -0.04900301, -0.005977631
8
-0.004834438, 0.03323473, 0.004714012
0.01349491, 0.02059959, 0.01899529
0.1042166, 0.009928696, 0.02140999
0.3443691, -0.002784595, 0.02237988
0.8088815, -0.01876871, 0.02384186
1.542349, -0.03409427, 0.02509212
2.607941, -0.03857285, 0.02515507
3.972821, -0.03018594, 0.02475357
5.550367, -0.01742089, 0.02359486
7.279847, -0.007635593, 0.02263832
9.061438, -0.001886129, 0.02290154
10.86397, 0.03203249, 0.02255249
12.63156, 0.1988533, 0.02210617
14.19385, 0.6028523, 0.02111816
0.9909729, 1.047987, 0.0182066
2.364929, 0.3491762, 0.01510048
3.964293, -0.05563578, 0.01217079
5.778813, -0.2007975, 0.01043797
7.711444, -0.2026777, 0.009361267
9.686549, -0.1673306, 0.01001549
11.72289, -0.1247576, 0.010849
13.69045, -0.01459813, 0.01065445
15.43671, 0.2551876, 0.008687973
17.09373, 0.774375, 0.006382942
1.459115, 0.6024996, 0.004213333
3.145321, 0.09313488, 0.002573967
4.894895, -0.1403272, 0.001955032
6.805912, -0.1981905, 0.002343178
8.686774, -0.1766076, 0.003315926
10.58967, -0.1339417, 0.004785538
12.44011, 0.007407665, 0.005750656
14.12955, 0.3544931, 0.004758835
15.72337, 1.030684, 0.0007143021
1.944584, 0.4966679, -0.001901627
3.552974, 0.0103395, -0.003808022
5.331446, -0.1959519, -0.005125999
7.195937, -0.2275214, -0.004839897
9.123003, -0.1997094, -0.003298759
11.06305, -0.1384492, -0.001238823
12.8414, 0.03781366, -0.0001115799
14.51617, 0.43923, -0.002085686
0.679913, 1.105305, -0.005685806
2.211098, 0.3719639, -0.008400917
3.910478, -0.06282848, -0.009736061
5.710192, -0.2409984, -0.0120554
